NTAName,GeoID,Borough,Pop,MdAge,PopU18,Pop65pl,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P,MdHHIncE,MnHHIncE
Greenpoint,BK0101,Brooklyn,"38,260",34.9,4985,3820,"6,093",15.9,"26,599",69.5,889,2.3,"1,829",4.8,"2,583",6.8,267.0,0.7,125469.0,152849.0
Williamsburg,BK0102,Brooklyn,"64,311",32.3,11642,4386,"18,719",29.1,"35,270",54.8,"1,836",2.9,"5,219",8.1,"3,030",4.7,237.0,0.4,129838.0,182233.0
South Williamsburg,BK0103,Brooklyn,"46,364",18.1,23102,3536,"3,710",8.0,"38,745",83.6,"2,898",6.3,365,0.8,301,0.6,345.0,0.7,36951.0,65450.0
East Williamsburg,BK0104,Brooklyn,"52,600",33.7,8335,6320,"19,468",37.0,"19,048",36.2,"7,171",13.6,"4,991",9.5,"1,605",3.1,317.0,0.6,71107.0,105681.0
Brooklyn Heights,BK0201,Brooklyn,"25,277",37.8,4280,4392,"1,789",7.1,"18,232",72.1,"1,510",6.0,"2,114",8.4,"1,524",6.0,108.0,0.5,179877.0,269862.0
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,Brooklyn,"39,872",33.5,7283,3510,"5,648",14.2,"19,366",48.6,"5,484",13.8,"7,148",17.9,"1,989",5.0,237.0,0.6,149181.0,213387.0
Fort Greene,BK0203,Brooklyn,"34,036",35.6,6298,4112,"5,010",14.7,"11,794",34.7,"9,998",29.4,"4,042",11.9,"2,642",7.8,550.0,1.6,107633.0,164247.0
Clinton Hill,BK0204,Brooklyn,"27,123",34.9,3728,3499,"3,576",13.2,"12,848",47.4,"6,652",24.5,"2,279",8.4,"1,541",5.7,227.0,0.8,115160.0,162928.0
Bedford-Stuyvesant (West),BK0301,Brooklyn,"89,800",31.2,23267,6577,"17,938",20.0,"34,525",38.4,"28,396",31.6,"3,983",4.4,"4,296",4.8,662.0,0.8,76660.0,116631.0
Bedford-Stuyvesant (East),BK0302,Brooklyn,"92,641",34.9,18108,11444,"14,217",15.3,"15,732",17.0,"55,070",59.4,"3,130",3.4,"4,084",4.4,408.0,0.5,69954.0,103415.0
Bushwick (West),BK0401,Brooklyn,"54,804",31.1,8734,4030,"29,429",53.7,"15,788",28.8,"3,389",6.2,"4,017",7.3,"1,679",3.1,502.0,0.9,87122.0,100973.0
Bushwick (East),BK0402,Brooklyn,"60,220",33.2,10171,7196,"28,736",47.7,"10,620",17.6,"15,783",26.2,"2,625",4.4,"1,572",2.6,884.0,1.5,69355.0,90737.0
Cypress Hills,BK0501,Brooklyn,"42,300",35.4,10584,4959,"29,524",69.8,"1,641",3.9,"7,444",17.6,"1,744",4.1,"1,029",2.4,918.0,2.2,63193.0,88539.0
East New York (North),BK0502,Brooklyn,"44,062",33.8,11712,5160,"14,673",33.3,"1,029",2.3,"24,254",55.0,"1,570",3.6,"1,989",4.5,547.0,1.2,54158.0,69592.0
East New York-New Lots,BK0503,Brooklyn,"53,067",37.3,11950,8141,"11,813",22.3,625,1.2,"37,914",71.4,596,1.1,"1,226",2.3,893.0,1.7,52754.0,67634.0
Spring Creek-Starrett City,BK0504,Brooklyn,"16,808",46.0,3175,4601,"2,674",15.9,"2,528",15.0,"10,378",61.7,444,2.6,563,3.3,221.0,1.3,39279.0,61506.0
East New York-City Line,BK0505,Brooklyn,"49,066",32.8,13733,5657,"11,718",23.9,"1,061",2.2,"28,510",58.1,"5,686",11.6,"1,242",2.5,849.0,1.7,44086.0,66753.0
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,Brooklyn,"61,436",37.7,13525,6878,"10,595",17.2,"34,176",55.6,"8,197",13.3,"3,780",6.2,"3,495",5.7,1193.0,1.9,129891.0,201206.0
Park Slope,BK0602,Brooklyn,"59,225",36.9,12533,7167,"7,080",12.0,"40,136",67.8,"3,244",5.5,"5,467",9.2,"2,958",5.0,340.0,0.5,192130.0,260363.0
Windsor Terrace-South Slope,BK0701,Brooklyn,"26,359",40.0,6364,3508,"3,483",13.2,"18,307",69.5,689,2.6,"2,483",9.4,"1,221",4.6,176.0,0.7,134366.0,186721.0
Sunset Park (West),BK0702,Brooklyn,"52,990",34.8,12307,5170,"30,705",57.9,"12,502",23.6,"2,115",4.0,"6,109",11.5,"1,318",2.5,241.0,0.4,79785.0,113250.0
Sunset Park (Central),BK0703,Brooklyn,"45,084",36.1,11496,5470,"16,536",36.7,"3,872",8.6,887,2.0,"22,937",50.9,420,0.9,432.0,0.9,60772.0,82266.0
Prospect Heights,BK0801,Brooklyn,"23,921",36.5,4358,3067,"2,359",9.9,"14,060",58.8,"3,883",16.2,"1,756",7.3,"1,810",7.6,53.0,0.2,146258.0,207146.0
Crown Heights (North),BK0802,Brooklyn,"86,360",34.9,15425,10326,"12,808",14.8,"18,798",21.8,"46,573",53.9,"2,524",2.9,"4,393",5.1,1264.0,1.5,68518.0,100100.0
Crown Heights (South),BK0901,Brooklyn,"52,591",33.7,11809,7589,"6,728",12.8,"16,626",31.6,"26,881",51.1,494,0.9,"1,298",2.5,564.0,1.1,70764.0,91052.0
Prospect Lefferts Gardens-Wingate,BK0902,Brooklyn,"47,387",37.4,8216,7843,"4,647",9.8,"11,493",24.3,"26,938",56.8,"1,793",3.8,"2,152",4.5,364.0,0.8,71973.0,103236.0
Bay Ridge,BK1001,Brooklyn,"84,567",40.6,16651,15675,"17,732",21.0,"48,998",57.9,"2,243",2.7,"12,835",15.2,"2,382",2.8,377.0,0.5,88926.0,120000.0
Dyker Heights,BK1002,Brooklyn,"42,005",41.8,8910,7696,"4,894",11.7,"16,870",40.2,699,1.7,"18,877",44.9,513,1.2,152.0,0.4,74015.0,106547.0
Bensonhurst,BK1101,Brooklyn,"96,647",39.8,20394,16164,"16,415",17.0,"36,153",37.4,468,0.5,"40,266",41.7,"2,436",2.5,909.0,1.0,63535.0,85678.0
Bath Beach,BK1102,Brooklyn,"32,533",40.3,7288,5985,"5,314",16.3,"14,152",43.5,653,2.0,"10,795",33.2,"1,443",4.4,176.0,0.5,67562.0,101051.0
Gravesend (West),BK1103,Brooklyn,"59,307",39.6,14285,9404,"9,149",15.4,"22,375",37.7,882,1.5,"24,771",41.8,"1,770",3.0,360.0,0.6,65734.0,95817.0
Sunset Park (East)-Borough Park (West),BK1201,Brooklyn,"30,570",36.6,8114,4225,"7,579",24.8,"6,554",21.4,753,2.5,"14,989",49.0,344,1.1,351.0,1.1,54184.0,73917.0
Borough Park,BK1202,Brooklyn,"85,592",20.0,39776,8321,"6,725",7.9,"68,462",80.0,638,0.7,"5,415",6.3,"1,222",1.4,3130.0,3.7,51065.0,79326.0
Kensington,BK1203,Brooklyn,"38,201",37.4,9169,5136,"6,053",15.8,"18,055",47.3,"3,652",9.6,"8,155",21.3,"1,889",4.9,397.0,1.1,81544.0,114050.0
Mapleton-Midwood (West),BK1204,Brooklyn,"37,695",31.1,12980,5479,"3,864",10.3,"27,530",73.0,693,1.8,"4,207",11.2,819,2.2,582.0,1.5,71866.0,104930.0
Gravesend (South),BK1301,Brooklyn,"28,552",42.9,6427,5697,"4,699",16.5,"13,395",46.9,"2,921",10.2,"6,669",23.4,690,2.4,178.0,0.6,56489.0,83349.0
Coney Island-Sea Gate,BK1302,Brooklyn,"51,468",48.3,10159,14634,"9,502",18.5,"25,683",49.9,"9,651",18.8,"4,849",9.4,"1,596",3.1,187.0,0.3,39795.0,67051.0
Brighton Beach,BK1303,Brooklyn,"30,279",47.4,5180,8392,"3,408",11.3,"21,220",70.1,446,1.5,"2,825",9.3,"2,120",7.0,260.0,0.9,45885.0,74901.0
Flatbush,BK1401,Brooklyn,"70,800",36.0,14008,8772,"12,338",17.4,"10,594",15.0,"41,719",58.9,"3,069",4.3,"2,712",3.8,368.0,0.6,77226.0,97852.0
Flatbush (West)-Ditmas Park-Parkville,BK1402,Brooklyn,"41,597",39.3,8998,7038,"7,694",18.5,"15,878",38.2,"8,130",19.5,"7,965",19.1,"1,580",3.8,350.0,0.8,81851.0,139882.0
Midwood,BK1403,Brooklyn,"52,142",35.6,14258,9261,"4,402",8.4,"33,984",65.2,"3,549",6.8,"7,313",14.0,"2,220",4.3,674.0,1.3,67907.0,101709.0
Gravesend (East)-Homecrest,BK1501,Brooklyn,"50,129",37.5,12469,8090,"6,151",12.3,"32,696",65.2,"1,230",2.5,"7,513",15.0,"1,333",2.7,1206.0,2.4,69401.0,100731.0
Madison,BK1502,Brooklyn,"40,723",42.1,8944,8654,"3,109",7.6,"23,807",58.5,"1,332",3.3,"10,618",26.1,"1,644",4.0,213.0,0.5,74473.0,107692.0
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,BK1503,Brooklyn,"66,402",45.6,12785,15522,"5,929",8.9,"40,057",60.3,"4,498",6.8,"13,490",20.3,"2,255",3.4,173.0,0.3,77379.0,107729.0
Ocean Hill,BK1601,Brooklyn,"40,131",33.8,8953,4792,"8,900",22.2,"3,263",8.1,"25,997",64.8,567,1.4,"1,052",2.6,352.0,0.9,49479.0,73541.0
Brownsville,BK1602,Brooklyn,"54,529",36.3,12671,7054,"14,121",25.9,"1,333",2.4,"35,765",65.6,666,1.2,"2,407",4.4,237.0,0.5,30828.0,50145.0
East Flatbush-Erasmus,BK1701,Brooklyn,"45,277",35.5,8082,6205,"3,401",7.5,"3,141",6.9,"34,864",77.0,"1,160",2.6,"2,006",4.4,705.0,1.6,70716.0,93639.0
East Flatbush-Farragut,BK1702,Brooklyn,"35,262",42.7,6422,7245,"3,206",9.1,572,1.6,"28,000",79.4,826,2.3,"2,488",7.1,170.0,0.5,73215.0,102436.0
East Flatbush-Rugby,BK1703,Brooklyn,"39,525",42.2,7228,7595,"2,347",5.9,"1,433",3.6,"33,151",83.9,538,1.4,"1,915",4.8,141.0,0.4,69785.0,92296.0
East Flatbush-Remsen Village,BK1704,Brooklyn,"38,460",40.6,8133,6498,"2,490",6.5,"1,315",3.4,"31,678",82.4,86,0.2,"2,452",6.4,439.0,1.1,53416.0,70549.0
Flatlands,BK1801,Brooklyn,"67,826",41.2,14639,12740,"5,812",8.6,"11,118",16.4,"42,805",63.1,"4,038",6.0,"3,013",4.4,1040.0,1.5,80638.0,101352.0
Marine Park-Mill Basin-Bergen Beach,BK1802,Brooklyn,"44,974",43.2,10478,9516,"3,380",7.5,"28,309",62.9,"6,365",14.2,"5,136",11.4,"1,394",3.1,390.0,0.9,105133.0,144028.0
Canarsie,BK1803,Brooklyn,"87,430",39.3,19478,14416,"8,087",9.2,"3,687",4.2,"69,126",79.1,"2,249",2.6,"3,720",4.3,561.0,0.6,79093.0,102873.0
Mott Haven-Port Morris,BX0101,Bronx,"57,846",32.0,16053,5937,"39,645",68.5,"1,466",2.5,"15,128",26.2,242,0.4,621,1.1,744.0,1.3,29820.0,46843.0
Melrose,BX0102,Bronx,"42,760",31.5,12337,4489,"30,565",71.5,525,1.2,"10,559",24.7,396,0.9,438,1.0,277.0,0.6,28046.0,47255.0
Hunts Point,BX0201,Bronx,"14,519",34.1,3816,1906,"10,598",73.0,272,1.9,"3,376",23.3,28,0.2,30,0.2,215.0,1.5,41246.0,54639.0
Longwood,BX0202,Bronx,"41,452",32.6,10992,4369,"30,525",73.6,"1,050",2.5,"9,055",21.8,206,0.5,444,1.1,172.0,0.4,37721.0,56333.0
Morrisania,BX0301,Bronx,"35,453",34.5,9613,3320,"20,073",56.6,722,2.0,"13,352",37.7,60,0.2,767,2.2,479.0,1.4,30823.0,47700.0
Claremont Village-Claremont (East),BX0302,Bronx,"23,929",31.9,6477,2946,"11,396",47.6,286,1.2,"11,664",48.7,3,0.0,513,2.1,67.0,0.3,29262.0,40663.0
Crotona Park East,BX0303,Bronx,"29,474",34.3,7635,3232,"18,103",61.4,373,1.3,"9,962",33.8,167,0.6,519,1.8,350.0,1.2,41089.0,58356.0
Concourse-Concourse Village,BX0401,Bronx,"68,692",36.3,16466,9042,"38,901",56.6,"3,162",4.6,"24,255",35.3,"1,213",1.8,753,1.1,408.0,0.6,39907.0,59995.0
Highbridge,BX0402,Bronx,"32,025",32.9,9081,3142,"19,670",61.4,"1,114",3.5,"10,106",31.6,220,0.7,573,1.8,342.0,1.1,39090.0,54885.0
Mount Eden-Claremont (West),BX0403,Bronx,"53,166",32.1,14986,5397,"36,069",67.8,"1,321",2.5,"14,001",26.3,542,1.0,694,1.3,539.0,1.0,41710.0,59320.0
University Heights (South)-Morris Heights,BX0501,Bronx,"55,671",33.7,15715,5079,"38,433",69.0,"1,243",2.2,"13,823",24.8,996,1.8,930,1.7,246.0,0.4,32838.0,51997.0
Mount Hope,BX0502,Bronx,"48,070",32.7,12920,4782,"30,955",64.4,763,1.6,"14,565",30.3,396,0.8,970,2.0,421.0,0.9,41857.0,51285.0
Fordham Heights,BX0503,Bronx,"33,606",30.5,10040,2154,"24,999",74.4,305,0.9,"7,443",22.1,292,0.9,322,1.0,245.0,0.7,41400.0,50608.0
West Farms,BX0601,Bronx,"18,526",32.1,5316,2079,"13,279",71.7,335,1.8,"4,433",23.9,107,0.6,195,1.1,177.0,1.0,28060.0,47561.0
Tremont,BX0602,Bronx,"32,561",30.6,9424,3381,"19,988",61.4,418,1.3,"11,449",35.2,107,0.3,470,1.4,129.0,0.4,31772.0,51738.0
Belmont,BX0603,Bronx,"36,322",27.5,9648,3151,"23,383",64.4,"4,019",11.1,"7,278",20.0,717,2.0,759,2.1,166.0,0.5,32617.0,53809.0
University Heights (North)-Fordham,BX0701,Bronx,"44,997",34.2,10830,5583,"36,882",82.0,"1,024",2.3,"5,519",12.3,879,2.0,289,0.6,404.0,0.9,41649.0,54797.0
Bedford Park,BX0702,Bronx,"54,787",34.1,13660,6385,"39,755",72.6,"3,094",5.6,"8,633",15.8,"2,297",4.2,604,1.1,404.0,0.7,44077.0,60373.0
Norwood,BX0703,Bronx,"39,659",35.5,9654,3556,"24,948",62.9,"3,561",9.0,"5,950",15.0,"4,255",10.7,587,1.5,358.0,0.9,46475.0,66712.0
Kingsbridge Heights-Van Cortlandt Village,BX0801,Bronx,"34,127",37.9,7836,5349,"23,984",70.3,"3,641",10.7,"5,239",15.4,698,2.0,486,1.4,79.0,0.2,55427.0,74417.0
Kingsbridge-Marble Hill,BX0802,Bronx,"26,309",35.5,6815,3449,"18,448",70.1,"3,196",12.1,"2,845",10.8,921,3.5,431,1.6,468.0,1.8,50871.0,65671.0
Riverdale-Spuyten Duyvil,BX0803,Bronx,"46,171",47.2,8561,13438,"12,700",27.5,"24,902",53.9,"4,210",9.1,"2,217",4.8,"1,506",3.3,636.0,1.4,109432.0,149216.0
Soundview-Bruckner-Bronx River,BX0901,Bronx,"67,145",33.0,16730,8748,"43,094",64.2,"1,203",1.8,"17,795",26.5,"2,611",3.9,"1,100",1.6,1342.0,2.0,40600.0,57406.0
Soundview-Clason Point,BX0902,Bronx,"36,804",36.3,8889,5773,"24,202",65.8,607,1.6,"10,451",28.4,608,1.7,419,1.1,517.0,1.4,53305.0,78760.0
Castle Hill-Unionport,BX0903,Bronx,"38,499",36.7,9131,5987,"21,596",56.1,"1,426",3.7,"7,882",20.5,"5,261",13.7,986,2.6,1348.0,3.5,52025.0,73409.0
Parkchester,BX0904,Bronx,"30,221",35.8,7342,4142,"11,164",36.9,484,1.6,"10,385",34.4,"7,284",24.1,562,1.9,342.0,1.2,61261.0,71429.0
Westchester Square,BX1001,Bronx,"15,793",35.5,3893,2254,"9,183",58.1,691,4.4,"1,712",10.8,"3,406",21.6,494,3.1,307.0,1.9,53651.0,69708.0
Throgs Neck-Schuylerville,BX1002,Bronx,"49,064",36.1,11177,7104,"24,805",50.6,"15,240",31.1,"5,191",10.6,"2,874",5.9,665,1.4,289.0,0.6,82922.0,103276.0
Pelham Bay-Country Club-City Island,BX1003,Bronx,"27,616",42.0,5391,5282,"11,973",43.4,"12,102",43.8,"1,449",5.2,"1,427",5.2,500,1.8,165.0,0.6,78665.0,104879.0
Co-op City,BX1004,Bronx,"36,651",47.1,6372,9764,"11,027",30.1,"1,613",4.4,"21,882",59.7,"1,004",2.7,"1,118",3.1,7.0,0.0,58814.0,69744.0
Pelham Parkway-Van Nest,BX1101,Bronx,"29,915",34.1,7066,3131,"16,135",53.9,"4,870",16.3,"5,526",18.5,"2,330",7.8,655,2.2,399.0,1.3,70931.0,86007.0
Morris Park,BX1102,Bronx,"22,059",39.2,4157,3876,"8,812",39.9,"8,713",39.5,"1,193",5.4,"2,649",12.0,507,2.3,185.0,0.9,76422.0,93994.0
Pelham Gardens,BX1103,Bronx,"29,211",42.2,6004,5694,"10,900",37.3,"5,463",18.7,"9,488",32.5,"2,835",9.7,301,1.0,224.0,0.7,91774.0,108830.0
Allerton,BX1104,Bronx,"35,581",37.5,8389,5318,"18,009",50.6,"4,314",12.1,"9,590",27.0,"1,957",5.5,"1,333",3.7,378.0,1.1,46161.0,60890.0
Williamsbridge-Olinville,BX1201,Bronx,"59,256",34.6,14487,7811,"20,841",35.2,"1,784",3.0,"32,410",54.7,"1,056",1.8,"1,442",2.4,1723.0,3.0,51275.0,71988.0
Eastchester-Edenwald-Baychester,BX1202,Bronx,"53,378",37.0,12426,7821,"13,993",26.2,"1,217",2.3,"36,160",67.7,487,0.9,"1,064",2.0,457.0,0.8,66625.0,91604.0
Wakefield-Woodlawn,BX1203,Bronx,"48,403",39.6,10042,8007,"12,033",24.9,"6,677",13.8,"24,469",50.6,"1,753",3.6,"1,476",3.0,1995.0,4.1,73118.0,94844.0
Financial District-Battery Park City,MN0101,Manhattan,"48,693",34.3,6716,4384,"3,710",7.6,"30,548",62.7,"1,868",3.8,"9,586",19.7,"2,258",4.6,723.0,1.4,195153.0,268791.0
Tribeca-Civic Center,MN0102,Manhattan,"23,777",37.7,4237,3040,"2,880",12.1,"14,482",60.9,"1,274",5.4,"4,104",17.3,921,3.9,116.0,0.5,200000.0,485548.0
SoHo-Little Italy-Hudson Square,MN0201,Manhattan,"21,940",39.4,2048,4049,"2,137",9.7,"13,886",63.3,222,1.0,"5,027",22.9,530,2.4,138.0,0.6,133847.0,258036.0
Greenwich Village,MN0202,Manhattan,"31,968",34.8,2462,5693,"2,458",7.7,"22,702",71.0,"1,131",3.5,"4,770",14.9,839,2.6,68.0,0.2,175436.0,288647.0
West Village,MN0203,Manhattan,"31,798",40.4,2400,5257,"3,490",11.0,"24,228",76.2,755,2.4,"1,938",6.1,"1,286",4.0,101.0,0.3,147570.0,250482.0
Chinatown-Two Bridges,MN0301,Manhattan,"40,100",47.9,5929,10845,"6,905",17.2,"4,764",11.9,"2,668",6.7,"24,278",60.5,"1,156",2.9,329.0,0.9,29559.0,68651.0
Lower East Side,MN0302,Manhattan,"45,800",42.1,5747,9560,"14,134",30.9,"15,356",33.5,"4,942",10.8,"9,731",21.2,"1,199",2.6,438.0,1.0,54122.0,96129.0
East Village,MN0303,Manhattan,"69,294",33.8,5857,10210,"17,302",25.0,"32,424",46.8,"5,635",8.1,"10,356",14.9,"3,040",4.4,537.0,0.8,72063.0,135664.0
Chelsea-Hudson Yards,MN0401,Manhattan,"62,046",39.6,5851,9164,"10,853",17.5,"36,700",59.1,"3,642",5.9,"8,017",12.9,"2,427",3.9,407.0,0.7,118915.0,200805.0
Hell's Kitchen,MN0402,Manhattan,"54,411",39.0,3588,9387,"11,428",21.0,"28,265",51.9,"2,459",4.5,"9,410",17.3,"2,551",4.7,298.0,0.5,100596.0,154326.0
Midtown South-Flatiron-Union Square,MN0501,Manhattan,"28,936",35.2,2718,3313,"3,341",11.5,"17,243",59.6,"1,601",5.5,"5,406",18.7,"1,147",4.0,198.0,0.7,167458.0,276732.0
Midtown-Times Square,MN0502,Manhattan,"21,514",44.2,1915,4530,"2,711",12.6,"11,507",53.5,"1,756",8.2,"4,052",18.8,"1,279",5.9,209.0,0.9,153871.0,258070.0
Stuyvesant Town-Peter Cooper Village,MN0601,Manhattan,"21,575",40.1,2976,3575,"1,590",7.4,"15,903",73.7,515,2.4,"2,585",12.0,895,4.1,87.0,0.4,149039.0,207542.0
Gramercy,MN0602,Manhattan,"26,083",34.2,2753,3732,"2,089",8.0,"17,493",67.1,"1,693",6.5,"3,894",14.9,859,3.3,55.0,0.2,155905.0,216103.0
Murray Hill-Kips Bay,MN0603,Manhattan,"55,247",34.2,4808,8466,"5,788",10.5,"31,783",57.5,"3,298",6.0,"11,161",20.2,"2,776",5.0,441.0,0.8,138337.0,198067.0
East Midtown-Turtle Bay,MN0604,Manhattan,"40,734",46.8,3856,11844,"3,368",8.3,"29,733",73.0,622,1.5,"5,887",14.5,988,2.4,136.0,0.4,161934.0,261782.0
Upper West Side-Lincoln Square,MN0701,Manhattan,"65,909",42.7,9970,12891,"6,305",9.6,"42,623",64.7,"3,245",4.9,"10,811",16.4,"1,562",2.4,1363.0,2.1,158165.0,258155.0
Upper West Side (Central),MN0702,Manhattan,"101,672",43.8,17535,22370,"13,901",13.7,"72,847",71.6,"3,469",3.4,"6,501",6.4,"4,515",4.4,439.0,0.4,148563.0,268111.0
Upper West Side-Manhattan Valley,MN0703,Manhattan,"53,065",39.4,7583,11110,"15,472",29.2,"24,134",45.5,"6,567",12.4,"5,392",10.2,"1,235",2.3,265.0,0.5,96777.0,158135.0
Upper East Side-Lenox Hill-Roosevelt Island,MN0801,Manhattan,"80,352",37.5,13127,14796,"7,198",9.0,"56,836",70.7,"2,726",3.4,"10,978",13.7,"2,006",2.5,608.0,0.7,133349.0,217244.0
Upper East Side-Carnegie Hill,MN0802,Manhattan,"53,138",49.8,8927,15592,"4,055",7.6,"42,573",80.1,454,0.9,"4,247",8.0,"1,650",3.1,159.0,0.3,194910.0,363404.0
Upper East Side-Yorkville,MN0803,Manhattan,"77,645",41.8,9489,17231,"8,515",11.0,"55,894",72.0,"3,471",4.5,"6,887",8.9,"2,255",2.9,623.0,0.8,133582.0,215735.0
Morningside Heights,MN0901,Manhattan,"37,772",28.1,3907,5157,"7,823",20.7,"16,856",44.6,"4,544",12.0,"6,777",17.9,"1,311",3.5,461.0,1.3,79523.0,151277.0
Manhattanville-West Harlem,MN0902,Manhattan,"23,487",34.1,4589,3107,"12,105",51.5,"3,380",14.4,"6,364",27.1,"1,089",4.6,494,2.1,55.0,0.2,46367.0,72241.0
Hamilton Heights-Sugar Hill,MN0903,Manhattan,"53,354",37.0,8452,6535,"26,060",48.8,"9,129",17.1,"13,721",25.7,"2,026",3.8,"1,996",3.7,422.0,0.8,69063.0,95369.0
